String_Type,L_value,Irreducible_Count,LZ77_z,Theoretical_Max_Bound
DNA,239,0,16,1052.7152913275604
Worst-Case,239,0,327,21514.868766507014
DNA,240,0,16,1052.7152913275604
Worst-Case,240,0,327,21514.868766507014
DNA,241,0,16,1052.7152913275604
Worst-Case,241,0,327,21514.868766507014
DNA,242,0,16,1052.7152913275604
Worst-Case,242,0,327,21514.868766507014
DNA,243,0,16,1052.7152913275604
Worst-Case,243,0,327,21514.868766507014
DNA,244,0,16,1052.7152913275604
Worst-Case,244,0,327,21514.868766507014
DNA,245,0,16,1052.7152913275604
Worst-Case,245,0,327,21514.868766507014
DNA,246,0,16,1052.7152913275604
Worst-Case,246,0,327,21514.868766507014
DNA,247,0,16,1052.7152913275604
Worst-Case,247,0,327,21514.868766507014
DNA,248,0,16,1052.7152913275604
Worst-Case,248,0,327,21514.868766507014
DNA,249,0,16,1052.7152913275604
Worst-Case,249,0,327,21514.868766507014
DNA,250,0,16,1052.7152913275604
Worst-Case,250,0,327,21514.868766507014
DNA,251,0,16,1052.7152913275604
Worst-Case,251,0,327,21514.868766507014
DNA,252,0,16,1052.7152913275604
Worst-Case,252,0,327,21514.868766507014
DNA,253,0,16,1052.7152913275604
Worst-Case,253,0,327,21514.868766507014
DNA,254,0,16,1052.7152913275604
Worst-Case,254,0,327,21514.868766507014
DNA,255,0,16,1052.7152913275604
Worst-Case,255,0,327,21514.868766507014
DNA,256,0,16,1052.7152913275604
Worst-Case,256,0,327,21514.868766507014
DNA,257,0,16,1052.7152913275604
Worst-Case,257,0,327,21514.868766507014
DNA,258,0,16,1052.7152913275604
Worst-Case,258,0,327,21514.868766507014
DNA,259,0,16,1052.7152913275604
Worst-Case,259,0,327,21514.868766507014
DNA,260,0,16,1052.7152913275604
Worst-Case,260,0,327,21514.868766507014
DNA,261,0,16,1052.7152913275604
Worst-Case,261,0,327,21514.868766507014
DNA,262,0,16,1052.7152913275604
Worst-Case,262,0,327,21514.868766507014
DNA,263,0,16,1052.7152913275604
Worst-Case,263,0,327,21514.868766507014
DNA,264,0,16,1052.7152913275604
Worst-Case,264,0,327,21514.868766507014
DNA,265,0,16,1052.7152913275604
Worst-Case,265,0,327,21514.868766507014
DNA,266,0,16,1052.7152913275604
Worst-Case,266,0,327,21514.868766507014
DNA,267,0,16,1052.7152913275604
Worst-Case,267,0,327,21514.868766507014
DNA,268,0,16,1052.7152913275604
Worst-Case,268,0,327,21514.868766507014
DNA,269,0,16,1052.7152913275604
Worst-Case,269,0,327,21514.868766507014
DNA,270,0,16,1052.7152913275604
Worst-Case,270,0,327,21514.868766507014
DNA,271,0,16,1052.7152913275604
Worst-Case,271,0,327,21514.868766507014
DNA,272,0,16,1052.7152913275604
Worst-Case,272,0,327,21514.868766507014
DNA,273,0,16,1052.7152913275604
Worst-Case,273,0,327,21514.868766507014
DNA,274,0,16,1052.7152913275604
Worst-Case,274,0,327,21514.868766507014
DNA,275,0,16,1052.7152913275604
Worst-Case,275,0,327,21514.868766507014
DNA,276,0,16,1052.7152913275604
Worst-Case,276,0,327,21514.868766507014
DNA,277,0,16,1052.7152913275604
Worst-Case,277,0,327,21514.868766507014
DNA,278,0,16,1052.7152913275604
Worst-Case,278,0,327,21514.868766507014
DNA,279,0,16,1052.7152913275604
Worst-Case,279,0,327,21514.868766507014
DNA,280,0,16,1052.7152913275604
Worst-Case,280,0,327,21514.868766507014
DNA,281,0,16,1052.7152913275604
Worst-Case,281,0,327,21514.868766507014
DNA,282,0,16,1052.7152913275604
Worst-Case,282,0,327,21514.868766507014
DNA,283,0,16,1052.7152913275604
Worst-Case,283,0,327,21514.868766507014
DNA,284,0,16,1052.7152913275604
Worst-Case,284,0,327,21514.868766507014
DNA,285,0,16,1052.7152913275604
Worst-Case,285,0,327,21514.868766507014
DNA,286,0,16,1052.7152913275604
Worst-Case,286,0,327,21514.868766507014
DNA,287,0,16,1052.7152913275604
Worst-Case,287,0,327,21514.868766507014
DNA,288,0,16,1052.7152913275604
Worst-Case,288,0,327,21514.868766507014
DNA,289,0,16,1052.7152913275604
Worst-Case,289,0,327,21514.868766507014
DNA,290,0,16,1052.7152913275604
Worst-Case,290,0,327,21514.868766507014
DNA,291,0,16,1052.7152913275604
Worst-Case,291,0,327,21514.868766507014
DNA,292,0,16,1052.7152913275604
Worst-Case,292,0,327,21514.868766507014
DNA,293,0,16,1052.7152913275604
Worst-Case,293,0,327,21514.868766507014
DNA,294,0,16,1052.7152913275604
Worst-Case,294,0,327,21514.868766507014
DNA,295,0,16,1052.7152913275604
Worst-Case,295,0,327,21514.868766507014
DNA,296,0,16,1052.7152913275604
Worst-Case,296,0,327,21514.868766507014
DNA,297,0,16,1052.7152913275604
Worst-Case,297,0,327,21514.868766507014
DNA,298,0,16,1052.7152913275604
Worst-Case,298,0,327,21514.868766507014
DNA,299,0,16,1052.7152913275604
Worst-Case,299,0,327,21514.868766507014
DNA,300,0,16,1052.7152913275604
Worst-Case,300,0,327,21514.868766507014
DNA,301,0,16,1052.7152913275604
Worst-Case,301,0,327,21514.868766507014
DNA,302,0,16,1052.7152913275604
Worst-Case,302,0,327,21514.868766507014
DNA,303,0,16,1052.7152913275604
Worst-Case,303,0,327,21514.868766507014
DNA,304,0,16,1052.7152913275604
Worst-Case,304,0,327,21514.868766507014
DNA,305,0,16,1052.7152913275604
Worst-Case,305,0,327,21514.868766507014
DNA,306,0,16,1052.7152913275604
Worst-Case,306,0,327,21514.868766507014
DNA,307,0,16,1052.7152913275604
Worst-Case,307,0,327,21514.868766507014
DNA,308,0,16,1052.7152913275604
Worst-Case,308,0,327,21514.868766507014
DNA,309,0,16,1052.7152913275604
Worst-Case,309,0,327,21514.868766507014
DNA,310,0,16,1052.7152913275604
Worst-Case,310,0,327,21514.868766507014
DNA,311,0,16,1052.7152913275604
Worst-Case,311,0,327,21514.868766507014
DNA,312,0,16,1052.7152913275604
Worst-Case,312,0,327,21514.868766507014
DNA,313,0,16,1052.7152913275604
Worst-Case,313,0,327,21514.868766507014
DNA,314,0,16,1052.7152913275604
Worst-Case,314,0,327,21514.868766507014
DNA,315,0,16,1052.7152913275604
Worst-Case,315,0,327,21514.868766507014
DNA,316,0,16,1052.7152913275604
Worst-Case,316,0,327,21514.868766507014
DNA,317,0,16,1052.7152913275604
Worst-Case,317,0,327,21514.868766507014
DNA,318,0,16,1052.7152913275604
Worst-Case,318,0,327,21514.868766507014
DNA,319,0,16,1052.7152913275604
Worst-Case,319,0,327,21514.868766507014
DNA,320,0,16,1052.7152913275604
Worst-Case,320,0,327,21514.868766507014
DNA,321,0,16,1052.7152913275604
Worst-Case,321,0,327,21514.868766507014
DNA,322,0,16,1052.7152913275604
Worst-Case,322,0,327,21514.868766507014
DNA,323,0,16,1052.7152913275604
Worst-Case,323,0,327,21514.868766507014
DNA,324,0,16,1052.7152913275604
Worst-Case,324,0,327,21514.868766507014
DNA,325,0,16,1052.7152913275604
Worst-Case,325,0,327,21514.868766507014
DNA,326,0,16,1052.7152913275604
Worst-Case,326,0,327,21514.868766507014
DNA,327,0,16,1052.7152913275604
Worst-Case,327,0,327,21514.868766507014
DNA,328,0,16,1052.7152913275604
Worst-Case,328,0,327,21514.868766507014
DNA,329,0,16,1052.7152913275604
Worst-Case,329,0,327,21514.868766507014
DNA,330,0,16,1052.7152913275604
Worst-Case,330,0,327,21514.868766507014
DNA,331,0,16,1052.7152913275604
Worst-Case,331,0,327,21514.868766507014
DNA,332,0,16,1052.7152913275604
Worst-Case,332,0,327,21514.868766507014
DNA,333,0,16,1052.7152913275604
Worst-Case,333,0,327,21514.868766507014
DNA,334,0,16,1052.7152913275604
Worst-Case,334,0,327,21514.868766507014
DNA,335,0,16,1052.7152913275604
Worst-Case,335,0,327,21514.868766507014
DNA,336,0,16,1052.7152913275604
Worst-Case,336,0,327,21514.868766507014
DNA,337,0,16,1052.7152913275604
Worst-Case,337,0,327,21514.868766507014
DNA,338,0,16,1052.7152913275604
Worst-Case,338,0,327,21514.868766507014
DNA,339,0,16,1052.7152913275604
Worst-Case,339,0,327,21514.868766507014
DNA,340,0,16,1052.7152913275604
Worst-Case,340,0,327,21514.868766507014
DNA,341,0,16,1052.7152913275604
Worst-Case,341,0,327,21514.868766507014
DNA,342,0,16,1052.7152913275604
Worst-Case,342,0,327,21514.868766507014
DNA,343,0,16,1052.7152913275604
Worst-Case,343,0,327,21514.868766507014
DNA,344,0,16,1052.7152913275604
Worst-Case,344,0,327,21514.868766507014
DNA,345,0,16,1052.7152913275604
Worst-Case,345,0,327,21514.868766507014
DNA,346,0,16,1052.7152913275604
Worst-Case,346,0,327,21514.868766507014
